n_docs,model,mean_p@5,mean_r@5,mean_map,mean_query_latency_s
10000,bert,0.057466666666666666,0.28733333333333333,0.4306837787398933,0.0015368734465705024
10000,sentence_transformer,0.0828888888888889,0.41444444444444445,0.36150726322611,0.0014971329106224908
50000,bert,0.0706,0.353,0.3135325007637701,0.005662142038345337
50000,sentence_transformer,0.0458,0.229,0.3010318596006677,0.0057032310962677
100000,bert,0.04625,0.23125,0.2747467992438323,0.014207024839189317
100000,sentence_transformer,0.06055555555555556,0.30277777777777776,0.28533309403110746,0.013880101707246567
200000,bert,0.05320000000000001,0.266,0.2505841532435573,0.024931104183197023
200000,sentence_transformer,0.01666666666666667,0.08333333333333333,0.22913184870684872,0.03123787999153137
300000,bert,0.016000000000000004,0.08,0.20922526975661648,0.04230428814888
300000,sentence_transformer,0.03233333333333333,0.16166666666666665,0.30427697730832404,0.04321806430816651
400000,bert,0.03511111111111112,0.17555555555555555,0.24127550210367546,0.06719607591629029
400000,sentence_transformer,0.022333333333333337,0.11166666666666666,0.2090628130039895,0.07141230980555216
500000,bert,0.03766666666666667,0.18833333333333332,0.24758814102564103,0.08485826015472411
500000,sentence_transformer,0.021500000000000005,0.1075,0.19826984126984126,0.07797977447509766
600000,bert,0.060000000000000005,0.3,0.24904761904761905,0.07161219120025634
600000,sentence_transformer,0.02333333333333333,0.11666666666666667,0.1809437321937322,0.07274364630381266
800000,bert,0.013333333333333334,0.06666666666666667,0.185,0.12401254177093506
800000,sentence_transformer,0.0,0.0,,0.15511242151260377
1000000,bert,0.036000000000000004,0.18000000000000002,0.261299845987346,0.12802550196647644
1000000,sentence_transformer,0.04,0.2,0.1875,0.14756348927815754
